epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
60,36.1829,2.72005,5.6768,4.24214,0.46245,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000218763,0.000218763,0.000218763
61,36.7582,3.4827,4.89726,4.1325,0.61507,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000213556,0.000213556,0.000213556
62,37.3109,3.4883,4.37152,4.12966,0.62599,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000208349,0.000208349,0.000208349
63,37.906,3.54787,4.22168,4.11726,0.53968,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000203141,0.000203141,0.000203141
64,38.4146,3.62792,6.25579,3.9631,0.52869,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000197934,0.000197934,0.000197934
65,39.1223,3.5252,5.16903,4.06982,0.43921,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000192726,0.000192726,0.000192726
66,39.6169,2.20095,5.80577,4.20962,0.49632,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000187519,0.000187519,0.000187519
67,40.0994,3.32182,5.62094,4.22955,0.59984,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000182312,0.000182312,0.000182312
68,40.5694,2.52415,5.00464,4.3438,0.50313,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000177104,0.000177104,0.000177104
69,41.0599,3.18411,4.62812,4.12894,0.65292,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000171897,0.000171897,0.000171897
70,41.5306,2.29009,6.01807,4.15247,0.69449,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000166689,0.000166689,0.000166689
71,42.0117,3.37554,4.74779,4.12236,0.56131,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000161482,0.000161482,0.000161482
72,42.5143,3.20595,4.51775,4.10819,0.59602,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000156275,0.000156275,0.000156275
73,42.9964,4.1136,3.88049,3.93818,0.46076,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000151067,0.000151067,0.000151067
74,43.458,3.65025,4.31732,3.98916,0.5336,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.00014586,0.00014586,0.00014586
75,43.9512,2.8946,5.47413,4.58423,0.48991,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000140652,0.000140652,0.000140652
76,44.411,3.79186,4.18167,3.9809,0.47588,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000135445,0.000135445,0.000135445
77,44.8847,3.49404,4.07871,4.16578,0.47742,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.000130238,0.000130238,0.000130238
78,45.3531,3.2985,4.77643,4.15446,0.67345,0,0,0,0,2.84573,7.26915,4.1728,0.86095,0.00012503,0.00012503,0.00012503
