epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
50,4647.66,1.64542,1.45657,1.37749,0.10082,0.65991,0.3237,0.323,0.21066,1.6274,1.89414,1.42312,0.10032,0.000270837,0.000270837,0.000270837
51,4736.83,1.63077,1.41024,1.35425,0.09516,0.64175,0.32421,0.31969,0.20723,1.62152,2.0193,1.41769,0.10074,0.00026563,0.00026563,0.00026563
52,4825.02,1.62078,1.40934,1.35161,0.09466,0.62646,0.31616,0.31523,0.20623,1.63043,1.98703,1.42691,0.10801,0.000260423,0.000260423,0.000260423
53,4913.94,1.60748,1.41594,1.35255,0.0953,0.66668,0.31508,0.32097,0.2107,1.61995,1.94908,1.41831,0.10271,0.000255215,0.000255215,0.000255215
54,5002.62,1.58762,1.37781,1.34515,0.09179,0.67368,0.31402,0.31594,0.20811,1.61548,2.00279,1.41051,0.1021,0.000250008,0.000250008,0.000250008
55,5092.15,1.64525,1.42762,1.3505,0.09969,0.65789,0.32788,0.32784,0.21408,1.60283,1.8582,1.40667,0.10076,0.0002448,0.0002448,0.0002448
56,5180.65,1.58699,1.38456,1.35599,0.09688,0.69935,0.32191,0.32267,0.21274,1.59987,1.95662,1.40443,0.09967,0.000239593,0.000239593,0.000239593
57,5270.16,1.6069,1.38005,1.34253,0.09292,0.65767,0.32986,0.32824,0.2147,1.60828,1.89737,1.41047,0.09859,0.000234386,0.000234386,0.000234386
58,5359.31,1.6358,1.38177,1.34208,0.0972,0.59321,0.32778,0.3303,0.2164,1.59389,1.90642,1.4005,0.09904,0.000229178,0.000229178,0.000229178
59,5448.45,1.57912,1.35079,1.33435,0.09315,0.71955,0.33705,0.33418,0.22052,1.584,1.80672,1.3948,0.10022,0.000223971,0.000223971,0.000223971
60,5536.41,1.59234,1.36772,1.34202,0.09229,0.66598,0.33377,0.33258,0.22212,1.56891,1.82622,1.38754,0.09973,0.000218763,0.000218763,0.000218763
61,5624.05,1.58993,1.36204,1.32751,0.0914,0.6896,0.33073,0.33423,0.22298,1.5836,1.8141,1.38749,0.09589,0.000213556,0.000213556,0.000213556
62,5712.87,1.55644,1.35064,1.32933,0.08982,0.67542,0.33544,0.3333,0.22062,1.58241,1.81089,1.38855,0.09608,0.000208349,0.000208349,0.000208349
63,5802.29,1.57137,1.34181,1.33716,0.09206,0.67339,0.33368,0.34206,0.22614,1.57801,1.88523,1.38274,0.09774,0.000203141,0.000203141,0.000203141
64,5890.07,1.56573,1.33995,1.32469,0.0907,0.70976,0.32974,0.34075,0.22639,1.56884,1.77507,1.3832,0.10013,0.000197934,0.000197934,0.000197934
65,5977.59,1.56654,1.3448,1.32866,0.09217,0.59282,0.34085,0.3428,0.22673,1.5697,1.78104,1.3872,0.09446,0.000192726,0.000192726,0.000192726
66,6065,1.5772,1.32406,1.31697,0.0929,0.68084,0.34646,0.3395,0.22444,1.56531,1.8552,1.38497,0.09396,0.000187519,0.000187519,0.000187519
67,6154.01,1.55895,1.30776,1.2968,0.0899,0.6895,0.34008,0.34496,0.22889,1.55594,1.80477,1.37294,0.09391,0.000182312,0.000182312,0.000182312
68,6242.99,1.55817,1.32646,1.31944,0.08905,0.72209,0.33891,0.34693,0.23098,1.54462,1.84262,1.37001,0.09099,0.000177104,0.000177104,0.000177104
69,6331.59,1.53012,1.27388,1.30192,0.08356,0.71812,0.33939,0.3504,0.23441,1.54573,1.75159,1.37543,0.08932,0.000171897,0.000171897,0.000171897
70,6420.27,1.50637,1.25917,1.30804,0.08704,0.7213,0.33696,0.34588,0.22949,1.55873,1.88281,1.3712,0.09387,0.000166689,0.000166689,0.000166689
71,6508.63,1.53591,1.27671,1.30211,0.08941,0.64331,0.34197,0.35333,0.2344,1.54835,1.72602,1.37655,0.09546,0.000161482,0.000161482,0.000161482
72,6597.84,1.54029,1.32341,1.31406,0.08557,0.70817,0.34523,0.35267,0.23474,1.55429,1.77042,1.37216,0.09324,0.000156275,0.000156275,0.000156275
73,6685.78,1.53168,1.25691,1.28942,0.08622,0.62142,0.35209,0.35097,0.23494,1.53145,1.7611,1.36596,0.09102,0.000151067,0.000151067,0.000151067
74,6774.65,1.53155,1.30272,1.31276,0.08627,0.66661,0.34439,0.34837,0.23323,1.5429,1.74308,1.37075,0.0901,0.00014586,0.00014586,0.00014586
75,6864.28,1.51836,1.27528,1.30626,0.08577,0.64636,0.35421,0.35465,0.23698,1.53319,1.75081,1.36298,0.09017,0.000140652,0.000140652,0.000140652
76,6952.69,1.5097,1.25975,1.28898,0.08309,0.61054,0.33737,0.34861,0.2345,1.52187,1.74487,1.35867,0.09036,0.000135445,0.000135445,0.000135445
77,7040.01,1.49467,1.24963,1.29766,0.07897,0.62412,0.35294,0.35387,0.23636,1.52339,1.80977,1.36008,0.09084,0.000130238,0.000130238,0.000130238
78,7128.95,1.5141,1.25961,1.30815,0.08715,0.6676,0.34286,0.35937,0.24052,1.51913,1.77236,1.3593,0.08909,0.00012503,0.00012503,0.00012503
79,7218.5,1.51606,1.25928,1.3061,0.08758,0.73423,0.33759,0.35472,0.23707,1.52763,1.71508,1.36158,0.08746,0.000119823,0.000119823,0.000119823
80,7306.4,1.50628,1.23059,1.28533,0.08045,0.70275,0.33941,0.35645,0.23969,1.51179,1.76645,1.34809,0.09141,0.000114615,0.000114615,0.000114615
81,7394.71,1.48785,1.22459,1.26592,0.08299,0.63536,0.35245,0.36078,0.24251,1.50749,1.70906,1.35077,0.09134,0.000109408,0.000109408,0.000109408
82,7481.95,1.48209,1.23588,1.29702,0.08139,0.65137,0.34892,0.35705,0.23735,1.51676,1.69856,1.35015,0.08766,0.000104201,0.000104201,0.000104201
83,7567.78,1.49873,1.23353,1.28407,0.08386,0.63412,0.36162,0.36003,0.24049,1.51653,1.73571,1.34956,0.08799,9.89932e-05,9.89932e-05,9.89932e-05
84,7652.34,1.49574,1.21079,1.27383,0.07932,0.6716,0.34131,0.35852,0.24063,1.51046,1.77346,1.34726,0.08917,9.37858e-05,9.37858e-05,9.37858e-05
85,7738.54,1.49318,1.26766,1.29944,0.08706,0.62954,0.35134,0.35923,0.23979,1.51609,1.71784,1.34446,0.08804,8.85784e-05,8.85784e-05,8.85784e-05
86,7824.94,1.5184,1.2416,1.28115,0.08378,0.61499,0.35707,0.35664,0.23876,1.51614,1.73884,1.34721,0.08773,8.3371e-05,8.3371e-05,8.3371e-05
87,7910.45,1.48321,1.22815,1.28083,0.07885,0.66174,0.35864,0.36295,0.24399,1.50697,1.67368,1.34419,0.08772,7.81636e-05,7.81636e-05,7.81636e-05
